Substance,              A,        B,		    C,		T min, T max, T boil,	References (P [bar] T [K])
"methanol CH4O",        5.20409,	1581.341, -33.50,	  288.1,	356.83, 0, "Ambrose and Sprake, 1970"
"methanol CH4O",        5.31301,	1676.569,	-21.728,	353,		483,    0, "Hirata and Suda, 1967"
"methanol CH4O",        5.15853,	1569.613,	-34.846,	353.5,	512.63, 0, "Ambrose, Sprake, et al., 1975"
"ethanol C2H6O",        5.338217, 1652.048,  -41,     270,    369,    0, "Thermosolver"
"ethanol C2H6O",        5.37229,	1670.409,	-40.191,	273, 		351.7,  0, "Kretschmer and Wiebe, 1949"
"ethanol C2H6O",        5.24677,	1598.673,	-46.424,	292.77,	366.63, 0, "Ambrose and Sprake, 1970"
"ethanol C2H6O",        4.92531,	1432.526,	-61.819,	364.8,	513.91, 0, "Ambrose, Sprake, et al., 1975"
"heptane C7H16",        4.81803,	1635.409,	-27.338,	185.29,	295.60, 0, "Carruth and Kobayashi, 1973"
"heptane C7H16",        4.02832,	1268.636,	-56.199,	299.07, 372.43, 0, "Williamham, Taylor, et al., 1945"
"n-decane C10H22",      4.07857,  1501.268, -78.67,   367.63, 448.27, 0, "Williamham, Taylor, et al., 1945"
"n-dodecane C12H26",    4.10549,	1625.928,	-92.839,  399.53, 490.49, 0, "Williamham, Taylor, et al., 1945"
"n-tridecane C13H28",   4.12829,  1689.093,	-98.866,	412.5,  509.21, 0, "Camin and Rossini, 1955"
"n-tetradecane C14H30", 4.13735,  1739.623, -105.616, 428.01, 527.31, 0, "Camin and Rossini, 1955"
"n-hexadecane C16H34",  4.17312,  1845.672,	-117.054, 463.20, 559.9,  0, "Camin, Forziati, et al., 1954"
"n-octadecane C18H38",  4.33209,	2068.963,	-111.927,	447.7,  590.,   0, "Krafft, 1882"
"n-heneicosane C21H44", 5.92073,  3571.218, -19.953,  425.8,  623.7,  0, "Stull, 1947"
"cyclohexane C6H12",    4.13983,	1316.554,	-35.581,  323.,   523.,   0, "Kerns, Anthony, et al., 1974"
"cyclohexane C6H12",    3.9920,	  1216.93,	-48.621,	303.,   343.,   0, "Gaw and Swinton, 1968"
"cyclohexane C6H12",    3.17125,	780.637,	-107.29,  315.70, 353.90, 0, "Marinichev and Susarev, 1965"
"cyclohexane C6H12",    3.96988,	1203.526,	-50.287,	293.06, 354.73, 0, "Williamham, Taylor, et al., 1945"
"m-xylene C8H10",       4.13607,	1463.218,	-57.991,	332.4,  413.19, 0, "Williamham, Taylor, et al., 1945"
"m-xylene C8H10",	      5.09199,	1996.545,	-14.772,	273.,   333.,   0, "Pitzer and Scott, 1943"
"naphthalene C10H8",    4.27117,	1831.571,	-61.329,	353.48, 452.30, 0, "Fowler, Trump, et al., 1968"
"naphthalene C10H8",	  3.97067,	1606.529,	-85.923,  399.47, 491.79, 0, "Camin and Rossini, 1955"
"phenanthrene C14H10",  4.51922,	2428.448,	-70.96,	  373.,   423.,   0, "Osborn and Douslin, 1975,"
"phenanthrene C14H10",	4.6894,	  2673.32,	-40.7,	  476.8,  619.9,  0, "Mortimer and Murphy, 1923"
"tetralin C10H12",      4.12671,	1690.912,	-70.229,	367.0,  479.4,  0, "Herz and Schuftan, 1922"
"m-cymene C10H14",      4.44393,	1784.78,	-45.917,	89.77,  448.06, 0, "McDonald, Shrader, et al., 1959"
"n-heptylbenzene C13H20",5.06453,	2506.238,	-21.612,	337.,   517.,   0, "Stull, 1947"
"water H2O",            4.6543,   1435.264,	-64.848,	255.9,  373,    0, "Stull, 1947"
"water H2O",	          5.08354,  1663.125,	-45.622,	344, 		373,    0, "Bridgeman and Aldrich, 1964"
"water H2O",	          3.55959,	643.748,	-198.043,	379,		573,    0, "Liu and Lindsay, 1970"
"n-pentane C5H12",      3.9892,	  1070.617,	-40.454,	268.8,  341.37, 0, "Osborn and Douslin, 1974"
"n-heptane C7H16",      4.81803,	1635.409,	-27.338,	185.29, 295.60, 0, "Carruth and Kobayashi, 1973"
"n-heptane C7H16",      4.02832,	1268.636,	-56.199,  299.07, 372.43, 0, "Williamham, Taylor, et al., 1945"
"n-hexane C6H14",       3.45604,	1044.038,	-53.893,	177.70, 264.93, 0, "Carruth and Kobayashi, 1973"
"n-hexane C6H14",       4.00266,	1171.53,	-48.784,	286.18, 342.69, 0, "Williamham, Taylor, et al., 1945"	
"tetradecane C14H30",   4.13735,	1739.623,	-105.616, 428.01, 527.31, 0, "Camin and Rossini, 1955"
"anthracene C14H10",    4.72997,	2759.53,	-30.753,	496.4,  613.8,  0, "Mortimer and Murphy, 1923"
"indene C9H8",          5.33514,	2511.452,	16.524, 	289.6,  454.8,  0, "Stull, 1947"
"decalin C10H18",       3.99304,	1572.899,	-65.947,  365.51, 461.02, 0, "Camin and Rossini, 1955"
"tetralin C10H12",      4.12671,	1690.912,	-70.229,	367.0,  479.4,  0, "Herz and Schuftan, 1922"
"n-pentylbenzene C9H12",4.07584,	1490.963,	-66.0,    348.97, 433.39, 0, "Forziati, Norris, et al., 1949"
"n-eicosane C20H42",    9.45178,  4680.46,	-141.05,	57.49,	343.6,  0, "Constanti Antoine"
"n-hexylbenzene C12H18",4.30202,  1813.74,	-77.65,	  393.15, 563.15, 0, "Dreisbach, 1955"
"n-hexylbenzene C12H18",4.10449,	1700.5, 	-84.95,	  369.15,	531.15, 0, "Zwolinski and Wilhoit, 1971"
"n-hexylbenzene C12H18",6.5002,	  1946.435,	-64.215,	273.73,	462.97, 0, "Kasehgari et al., 1993"
"1-methylnaphthalene",  4.16082,  1826.948,  -78.148,	415.29, 518.48, 0, "Camin and Rossini, 1955"
"2,2,4-trimethylpentane",  3.94736,	1282.332,	-48.444,	194.64,  298.44, 0, "Milazzo, 1956"
"2,2,4-trimethylpentane",	3.93679,	1257.84,	-52.415, 297.51, 373.28, 0, "Williamham, Taylor, et al., 1945"
"2,2,3,5-tetramethylhexane", 3.9960363876,  1417.6,	-66.85,200,400, 0, "WEB"
