Formula, Substance,          Tc,         Pc,       Ac
"N2", "nitrogen",        126.15,      33.94,      0.045
"O2", "oxygen",          154.6,      50.43,      0.022
"H2", "hydrogen",        33.3,       12.97,      -0.215
"CO2", "carbondioxide",  304.2,      73.82,      0.228
"CH4", "methane",        190.63,      46.17,      0.010
"C2H6", "ethane",	      305.4,      48.80,      0.099
"C3H8", "propan",	      369.8,      42.49,      0.152
"C4H10", "n-butan",	    425.2,      37.97,      0.193
"C5H12", "n-pentan",	    469.7,      33.69,      0.249
"C6H12", "n-hexane",	    507.4,      30.12,      0.305
"C2H4", "ethene",	      282.4,      50.32,      0.085
"C3H6", "propene",	      364.8,      46.13,      0.142
"C2H2", "acetylene",	    308.3,      61.39,      0.187
"C6H6", "benzene",	      562.2,      48.98,      0.211
"C7H8", "toluene",	      591.8,      41.09,      0.264
"H2O", "water",	        647.3,      221.2,      0.344
"C2H6O", "ethanol",     516.2,      63.83,      0.635
"C8H18", "octane",       568.9,      24.9,       0.3978
"C10H22", "n-decane",      617.8,      21.1,       0.4837